Subdiv,Year,Sales,Median Sold Price,Avg.SP,Median DOM,Avg.DOM,Median.SP.OLP,Median.SP.LP
The Hamlet,2011,4,117450,108750.25,131.5,170.5,0.885381387,0.949936629
The Hamlet,2012,11,68250,75738.81818,47,158.3636364,0.779510022,0.949235049
The Hamlet,2013,9,58000,67322.11111,53,110.8888889,0.901803607,0.94
The Landings,2011,1,272000,272000,566,566,0.871794872,0.989090909
The Landings,2012,3,287000,284000,362,280,0.911400445,0.989996551
The Landings,2013,3,285000,293133.3333,139,134.3333333,1.053422371,0.996783417
The Mead,2010,1,265000,265000,152,152,0.929824561,0.985130112
The Mead,2011,1,227500,227500,1,1,0.948311797,0.948311797
The Mead,2012,1,225000,225000,368,368,0.957854406,0.982532751
The Meadows,2010,1,240000,240000,57,57,0.888888889,0.905660377
The Meadows,2011,2,182500,182500,47.5,47.5,0.8718506,0.918773306
The Meadows,2012,1,293000,293000,71,71,1,1
The Orchards,2010,5,275000,279000,154,132.8,0.964912281,0.985130112
The Orchards,2011,1,275000,275000,89,89,0.833585935,0.964912281
The Orchards,2012,5,250000,250111,69,72.4,0.909090909,0.949340145
The Orchards,2013,5,249900,274960,22,25.8,1,1
TheReserveatChestnut,2011,1,335000,335000,226,226,0.905650176,0.965417867
TheReserveatChestnut,2012,1,210000,210000,701,701,0.777777778,0.893617021
Tidbury Crossing,2010,3,181000,185000,100,89.33333333,0.973641743,1
Tidbury Crossing,2013,6,167750,170900,179.5,225.8333333,0.942934783,1
Tidbury Manor,2010,2,124000,124000,31,31,0.899593094,0.899593094
Tidbury Manor,2011,1,135000,135000,64,64,0.956632653,0.986121256
Tidbury Manor,2012,1,209000,209000,5,5,1,1
Timber Mills,2010,5,389335,386548,60,45.6,0.985471537,0.985471537
Timber Mills,2011,1,360000,360000,145,145,0.935064935,0.935064935
Timber Mills,2013,7,344500,352930.4286,62,154.8571429,0.999878156,0.996875
Towne And Country,2010,7,225000,208842.8571,48,82,0.926829268,0.978686385
Towne And Country,2011,5,217500,217900,46,47,0.953532722,1.000476417
Towne And Country,2012,8,208500,210537.5,71.5,99,0.937955904,1
Towne And Country,2013,4,221450,225475.25,21,31.25,1.006821282,1
Towne Point,2010,4,123250,116625,51.5,76,0.831951839,0.921899408
Towne Point,2011,9,103400,104366.6667,160,129.5555556,0.925925926,0.956521739
Towne Point,2012,5,115000,115780,115,113.8,0.958439355,0.958439355
Towne Point,2013,7,118500,99299.71429,16,76.85714286,0.9875,0.989761092
Townsend Fields,2010,4,342250,336125,266.5,262.25,0.908789169,0.958836236
Townsend Fields,2011,2,324950,324950,256,256,0.928571429,0.941306267
Townsend Fields,2013,2,321500,321500,40,40,0.951703842,0.993398639
Traybern,2010,1,159100,159100,88,88,0.860465116,0.997492163
Traybern,2011,1,220000,220000,44,44,0.936568753,0.936568753
Traybern,2012,3,186500,162200,36,57.33333333,0.89614102,0.945226131
Traybern,2013,3,193900,192933.3333,14,29.66666667,1.021063718,1
Triarchia Partners,2012,1,133000,133000,125,125,0.760869565,0.806549424
Turnberry,2010,2,192500,192500,10,10,0.983657541,0.983657541
Turnberry,2013,1,150000,150000,275,275,0.717703349,0.882352941
Twelve Oaks,2011,1,274900,274900,7,7,1.01852538,1.01852538
Twelve Oaks,2012,2,279250,279250,34.5,34.5,0.978094554,0.978094554
Twelve Oaks,2013,1,265000,265000,50,50,1,1
Twin Eagle Farms,2011,1,250000,250000,12,12,0.946969697,0.946969697
Twin Eagle Farms,2012,3,232500,183833.3333,50,88.33333333,0.888888889,0.93000372
Twin Willows,2010,3,240000,248300,232,226,0.93015093,0.991735537
Twin Willows,2011,6,195000,205081.6667,46.5,60,0.968006551,0.982470338
Twin Willows,2012,8,200700,203775,49,68.5,0.927373581,0.95853639
Twin Willows,2013,6,212198,207399.3333,77,119,0.981235905,0.98362238
Valley Run,2010,1,81000,81000,14,14,0.905027933,0.905027933
Victoria Meadows,2011,1,225000,225000,168,168,0.97826087,0.97826087
Victoria Meadows,2012,1,179900,179900,186,186,0.8995,1
Village Of Chestnu,2010,1,233000,233000,87,87,0.971238016,0.971238016
Village Of Chestnu,2011,1,149900,149900,118,118,0.832777778,1.006040268
Village Of Chestnu,2012,2,195725,195725,153,153,0.94332421,0.967882302
Village of Eastridge,2013,1,263000,263000,116,116,0.960906102,0.98317757
Village Of Garriso,2011,3,260000,238666.6667,278,331,0.875021876,0.936978993
Village Of Garriso,2012,3,220500,203966.6667,133,163.3333333,0.832703927,1
Village Of Westove,2010,15,165000,165753.2667,107,136.4666667,0.965957447,0.984094899
Village Of Westove,2011,9,128000,130288.8889,79,132.2222222,0.881801126,0.9941898
Village Of Westove,2012,12,113500,112266.6667,73,179.5,0.8570918,0.947730555
Village Of Westove,2013,26,109500,115942.2308,24.5,67.34615385,1,1
VillageAtWildQuail,2011,3,383000,462666.6667,185,158.6666667,0.942991856,0.945205479
VillageAtWildQuail,2012,3,380000,397333.3333,150,164,0.844444444,0.950237559
VillageAtWildQuail,2013,5,399000,359200,127,160.8,0.946268657,0.985185185
Villas At W Shore,2011,4,150250,154125,112,124.75,0.91054878,0.97
Villas At W Shore,2012,2,132503.5,132503.5,91,91,0.889168995,1.020670427
Villas At W Shore,2013,1,175000,175000,112,112,1.000571755,1.030017657
Villas of Spruance,2012,2,40000,40000,29.5,29.5,0.77143898,1.015117057
Viola,2010,1,143000,143000,174,174,0.810496784,0.894868586
Viola,2012,3,104900,124133.3333,50,84,0.890445223,0.994554951
Voshell Cove,2011,2,51250,51250,48,48,0.940671103,0.970273295
Voshell Cove,2012,1,123700,123700,12,12,0.9896,0.9896
Voshell Cove,2013,1,128000,128000,54,54,1,1
Warrington Manor,2011,1,128800,128800,123,123,0.954781319,0.991531948
Waters Edge,2011,4,161000,162250,145,138,0.912739923,0.97723271
Waters Edge,2012,9,180000,182199.2222,31,50.44444444,1,1
Waters Edge,2013,21,200065,206804.3333,19,47,1,1
Waterside,2011,1,384750,384750,120,120,0.894975576,0.962115529
Waterside,2012,2,252500,252500,193.5,193.5,0.918181818,0.918181818
WeatherstoneCrossing,2011,1,212500,212500,646,646,0.857830275,1
