Subdiv,Year,Sales,Median Sold Price,Avg.SP,Median DOM,Avg.DOM,Median.SP.OLP,Median.SP.LP
Bombay Woods,2011,4,180500,177250,72.5,94.75,0.942714127,1
Bombay Woods,2012,7,179000,173271.4286,85,83.85714286,0.951748561,1
Bombay Woods,2013,9,157000,163616.6667,57,62.44444444,0.93733544,0.969355847
Bowers,2012,1,175875,175875,46,46,0.901923077,0.901923077
Bowers Beach,2010,8,154500,173375,113.5,105.5,0.890234889,0.94762788
Bowers Beach,2011,9,170000,219444.4444,225,281.2222222,0.905797101,0.918196995
Bowers Beach,2012,3,99000,173033.3333,170,159.6666667,0.827284105,0.95701541
Bowers Beach,2013,2,136250,136250,54,54,0.885208402,0.923109244
Bowers Landing,2010,2,264450,264450,246.5,246.5,0.893982808,1
Bowers Landing,2011,1,232000,232000,32,32,0.947325439,0.947325439
Bowers Landing,2012,1,286000,286000,196,196,1.040003782,1.040003782
Brandywine Ct,2010,2,44000,44000,151,151,0.861344538,0.977777778
Brandywine Ct,2011,3,50000,49666.66667,78,90.66666667,0.806451613,0.846325167
Brandywine Ct,2013,6,37500,37901.83333,82,170,0.761853443,0.869630974
Breeders Crown Farm,2010,2,202450,202450,374.5,374.5,0.945657117,0.990245123
Breeders Crown Farm,2011,1,170000,170000,315,315,0.944444444,0.944444444
Breeders Crown Farm,2012,4,167450,166225,164,207.75,0.821367836,0.969981807
Breeders Crown Farm,2013,3,191000,187300,18,246,1.010526316,1.010526316
Breezewood,2010,1,252500,252500,308,308,0.873702422,0.921532847
Breezewood,2011,2,177700,177700,162.5,162.5,0.885897484,0.9859375
Breezewood,2012,2,169400,169400,388,388,0.897198599,0.907179487
Breezewood,2013,2,117500,117500,109,109,0.708694049,0.880761523
Brenford Station,2010,8,249995,236248.75,57.5,92.875,0.98215775,0.991246874
Brenford Station,2011,5,242000,234200,58,168.8,0.988095238,0.988095238
Brenford Station,2012,6,232500,225184.5,108.5,140.5,0.976955745,0.981464912
Brenford Station,2013,8,249000,240780.75,47,50.375,0.980081622,1
Brenford Woods,2010,2,262500,262500,301.5,301.5,0.816103318,0.978461247
Brenford Woods,2011,7,245000,239231.2857,193,309.7142857,0.892889032,0.95
Brenford Woods,2012,9,232000,238959.6667,100,107.2222222,0.936670311,0.981818182
Brenford Woods,2013,5,259102,256281.2,36,120.4,1.000009302,1.000009302
Briar Park,2010,3,113000,107000,13,56.33333333,1.025854879,1
Briar Park,2011,2,61500,61500,164,164,0.800241989,0.940257927
Briar Park,2012,1,115000,115000,82,82,0.822015726,0.959132611
Briar Park,2013,5,70050,82730,61,90.2,0.875625,0.967741935
Brighton Pl,2013,1,190000,190000,4,4,1.027027027,1.027027027
Brookdale Hgts,2010,2,185700,185700,79,79,0.957508731,0.971223022
Brookdale Hgts,2011,2,152750,152750,32.5,32.5,0.944858477,0.944858477
Brookdale Hgts,2012,1,124900,124900,112,112,0.833222148,1
Brookdale Hgts,2013,1,82000,82000,22,22,0.976190476,0.976190476
Brookfield,2010,1,245000,245000,67,67,1.021258858,1
Brookfield,2011,4,252000,255500,41,62.75,0.962636845,0.968351131
Brookfield,2012,5,335000,288700,121,113.4,0.971014493,0.977777778
Brookfield,2013,3,282000,316500,159,173.6666667,0.846354167,0.972413793
Burtonwood Village,2010,4,201900,197550,163.5,146,0.942110912,0.992972973
Burtonwood Village,2011,2,188450,188450,13,13,1.005714286,1.005714286
Burtonwood Village,2012,2,221500,221500,7.5,7.5,1,1
Burtonwood Village,2013,2,197500,197500,45.5,45.5,0.952259216,0.963646752
Burwood Farms,2010,1,118000,118000,97,97,0.737961226,0.874722016
Burwood Farms,2012,1,153000,153000,89,89,0.913432836,0.927272727
Bush Manor,2012,1,125000,125000,22,22,1.069289991,1.069289991
Bush Manor,2013,1,175000,175000,37,37,0.945945946,0.945945946
Cambria Village,2010,4,166400,167900,111,139,1,1
Cambria Village,2011,4,152400,143925,514,470.5,0.990189666,1
Cambria Village,2012,3,153650,136883.3333,76,186.3333333,0.968484084,0.968484084
Cambria Village,2013,3,156900,157233.3333,841,660.6666667,1,1
Camden,2010,2,163450,163450,29.5,29.5,0.981852315,0.981852315
Camden,2011,7,172000,162357.1429,39,100,0.937142857,0.956086715
Camden,2012,7,164900,142657.1429,57,68.57142857,0.966666667,0.983050847
Camden,2013,4,156000,144000,97.5,96.25,1,1
Camden Commons,2010,2,124000,124000,86,86,0.913278944,0.951187532
Camden Commons,2011,2,78450,78450,173,173,0.668374399,0.708166149
Camden Commons,2012,4,89000,86250,48,57.25,0.869855072,0.88573797
Camden Commons,2013,2,79000,79000,28.5,28.5,0.857855885,0.928872436
Candlewicke,2010,1,265000,265000,53,53,0.914108313,0.914108313
Candlewicke,2013,1,375000,375000,54,54,0.862068966,0.903614458
Cannon Mills,2010,7,164900,174757.1429,175,230.4285714,0.854971501,0.97914006
Cannon Mills,2011,6,150250,162066.6667,50,65.83333333,0.989208633,0.996150885
Cannon Mills,2012,7,122000,130142.8571,72,93.28571429,0.878477306,0.952388511
Cannon Mills,2013,4,136500,146125,21.5,53,0.9875,1.0125
Canterbury Meadows,2010,1,175000,175000,65,65,0.972222222,0.972222222
Canterbury Trails,2010,1,206000,206000,16,16,0.990384615,0.990384615
Canterbury Trails,2012,1,275000,275000,64,64,0.919732441,0.919732441
Canterbury Trails,2013,3,133488,148862.6667,51,54.66666667,0.946,1.050754458
Canterville,2010,1,125000,125000,343,343,0.962278676,0.962278676
Canterville,2011,1,71000,71000,441,441,0.507505361,0.987482615
Canterville,2012,1,150000,150000,39,39,0.9375,0.9375
Canterville,2013,1,127000,127000,510,510,0.894996476,0.907791279
Capitol Green,2010,1,84000,84000,220,220,0.840840841,0.934371524
Capitol Green,2011,1,32000,32000,30,30,0.879120879,0.879120879
Capitol Park,2010,1,79000,79000,64,64,0.930506478,0.930506478
Capitol Park,2011,12,20000,26083.33333,76.5,173.3333333,0.645206136,0.841894315
Capitol Park,2012,1,18500,18500,23,23,1,1
Capitol Park,2013,1,62000,62000,31,31,0.885714286,0.885714286
Cardinal Hills,2011,2,241500,241500,258,258,0.72480315,0.941287879
Cardinal Hills,2012,2,252500,252500,25,25,0.980769231,0.980769231
Cardinal Hills,2013,2,297000,297000,127.5,127.5,0.939539749,0.982504549
Carlisle Vil,2010,5,169900,163580,128,203,0.918665886,0.993377483
Carlisle Vil,2011,6,149900,152350,70,151.6666667,0.937460913,0.994285714
Carlisle Vil,2012,2,87000,87000,64,64,0.858912186,0.982535809
Carlisle Vil,2013,5,125299,120659.8,112,123,0.91,0.920920921
Carriage Lake,2010,2,187500,187500,152.5,152.5,0.855646928,0.987179487
Carriage Lake,2013,2,197450,197450,128,128,0.946138034,0.988372093
Carter,2012,3,160000,135000,14,58,1.000571755,1.000571755
Ceaderbrook Acres,2010,2,132500,132500,57,57,0.803030303,0.880422692
Ceaderbrook Acres,2011,1,42500,42500,75,75,0.904255319,0.904255319
Cedar Lane,2010,1,150000,150000,22,22,0.938086304,0.938086304
Cedarbrook Acres,2010,1,50000,50000,130,130,0.500500501,0.863557858
Cedarbrook Acres,2011,2,27000,27000,109.5,109.5,0.337581121,0.449164208
Cedarbrook Acres,2013,1,169000,169000,18,18,0.994702766,1
Champions Club,2010,1,314990,314990,207,207,0.926468426,1
Champions Club,2011,2,257495,257495,577.5,577.5,0.969093459,0.975896867
Chapelcroft,2010,3,197000,183666.6667,111,135.6666667,0.976076555,1.000667111
Chapelcroft,2011,2,133750,133750,70,70,0.85681809,0.97485006
Chapelcroft,2012,2,128450,128450,20.5,20.5,1.003971406,1
Chapelcroft,2013,1,149000,149000,7,7,0.993333333,0.993333333
Chatham Cove,2010,1,175000,175000,185,185,0.921052632,0.921052632
Chatham Cove,2011,2,103500,103500,153,153,0.839304505,0.882308338
Chatham Cove,2012,2,64250,64250,194,194,0.720620155,0.952063387
Chatham Cove,2013,5,132000,137400,122,112.6,0.962278676,0.962278676
Chelesa Villa,2011,1,149900,149900,212,212,1,1
Chelesa Villa,2012,2,165000,165000,40.5,40.5,1.001939967,0.999262673
Chelesa Villa,2013,1,140000,140000,379,379,0.903225806,0.936454849
Chestnut Ridge,2010,8,260473,270230.75,143,153.875,0.964429821,0.982898543
Chestnut Ridge,2011,6,246000,248400.1667,24,51.33333333,0.98600358,0.991001101
Chestnut Ridge,2012,11,235000,244936.3636,66,123.6363636,0.974358974,0.983094704
Chestnut Ridge,2013,5,267273,274014.6,130,125.8,1.017785683,1.028368603
Cheswold,2010,2,69950,69950,43.5,43.5,1.043586444,1.043586444
Cheswold,2011,1,12000,12000,218,218,0.545454545,0.545454545
Cheswold,2012,1,49000,49000,77,77,0.597560976,0.66395664
Cheswold,2013,1,47000,47000,206,206,0.522803115,0.854545455
Chimney Hill,2010,14,182500,181964.2857,132.5,162.8571429,0.924969734,0.987974465
Chimney Hill,2011,4,167500,152500,64,99.75,0.945945946,0.962301587
Chimney Hill,2012,8,169000,168112.5,44,61.375,0.974236946,1
Chimney Hill,2013,7,170000,167785.7143,51,67.14285714,0.961904762,0.961904762
Church Creek,2010,3,228500,217183.3333,85,92.33333333,0.972754364,0.97914006
Church Creek,2011,5,219900,224880,67,72.2,0.995712244,0.995712244
Church Creek,2012,6,189500,199983.3333,81,91.33333333,0.95171371,1
Church Creek,2013,4,185500,185444.25,57.5,100.75,0.942439543,0.987373737
Church Hill Vil,2012,2,234950,234950,177,177,0.764776265,1.573825503
Clayton,2010,4,185500,179331.5,62.5,64,0.940576565,0.940576565
Clayton,2011,7,162000,162000,228,174.2857143,0.79581628,0.946457545
Clayton,2012,4,163500,170500,84.5,101,0.925511515,0.974807424
Clayton,2013,5,189900,159380,95,87.4,0.863181818,0.892410342
Clayton Square,2011,1,129900,129900,18,18,1,1
Clayton Square,2013,1,160000,160000,17,17,0.96969697,0.96969697
Clearview Meadow,2010,6,178660,194266.1667,69.5,100.3333333,0.955009435,0.977092738
Clearview Meadow,2011,1,169000,169000,16,16,0.994702766,0.994702766
Clearview Meadow,2012,1,145900,145900,67,67,0.954218443,1
Clearview Meadow,2013,4,188750,209350,104.5,99.25,0.98586727,0.986848459
Colony West,2013,2,79900,79900,116,116,1,1
Cooper Farms,2011,1,61000,61000,46,46,0.685393258,0.953125
Cottage Dale Acres,2010,4,280000,318725,353.5,372.5,0.932353359,0.974906551
Cottage Dale Acres,2011,2,267500,267500,627,627,0.818596491,0.99154881
Cottage Dale Acres,2012,4,230950,211725,110,155.75,0.771836735,0.913370819
Cottage Dale Acres,2013,4,245500,235850,96.5,138.75,0.973345278,0.992360194
Country Field,2010,1,249900,249900,170,170,0.833277759,1
Country Fields,2010,1,295000,295000,158,158,0.87020649,0.922163176
Country Fields,2011,2,287500,287500,93.5,93.5,0.90471464,0.947106875
Country Fields,2012,1,287500,287500,41,41,0.871476205,0.898718349
Country Fields,2013,1,359900,359900,4,4,1,1
Country Lake,2011,2,308000,308000,166,166,0.956478039,0.983944725
Country Lake,2013,1,238000,238000,573,573,0.952380952,0.952380952
Courseys Point,2010,2,243312.5,243312.5,19,19,1,1
Courseys Point,2011,1,228500,228500,482,482,0.933033891,0.972754364
Courseys Point,2012,3,301193,298366,2,67,1,1
Courseys Point,2013,5,214900,219999,21,18,1,1
Courtside,2010,1,390000,390000,49,49,0.928571429,0.928571429
Courtside,2013,1,351600,351600,46,46,0.927704485,0.927704485
Cranberry Run,2011,1,187000,187000,43,43,0.971428571,0.971428571
Cranberry Run,2012,3,235000,225000,104,109,0.94037615,0.95
Cranberry Run,2013,5,204000,204607,40,92.8,0.948841623,0.952834683
Creekstone,2013,1,275000,275000,278,278,1.022304833,1.022304833
Crossgates,2010,5,178000,181000,197,217,0.912820513,0.979899497
Crossgates,2011,5,160000,146400,160,212.4,0.898323418,0.977633902
Crossgates,2012,3,132500,128833.3333,55,61,0.913793103,0.913793103
Crossgates,2013,5,173000,172380,169,113.6,0.947340706,0.988571429
Crystal Creek,2010,1,275900,275900,387,387,0.965022735,0.965022735
Crystal Creek,2011,1,260000,260000,36,36,0.963319748,0.963319748
Cypress Gdns,2010,4,211950,196200,58,74.75,0.958529728,1
Cypress Gdns,2011,2,130950,130950,54.5,54.5,0.861200915,0.95462875
Cypress Gdns,2013,2,135485,135485,97.5,97.5,0.965675322,0.967967098
Danfield Estates,2010,4,250754,249367.5,25.5,55.5,1.034437416,1.034437416
Deer Meadows,2010,3,190000,175000,307,365,0.805555556,0.90681676
Deer Meadows,2011,1,285000,285000,478,478,0.904761905,0.982758621
Deer Meadows,2012,1,229900,229900,16,16,1,1
Deer Meadows,2013,3,185000,195333.3333,42,124.6666667,0.984315846,1
Deerfield,2010,2,179500,179500,49.5,49.5,0.971139545,0.98409789
Deerfield,2011,1,162000,162000,93,93,0.900500278,0.982413584
Deerfield,2012,4,153250,150325,27.5,65.75,0.975899239,0.994845361
Deerfield,2013,1,180000,180000,103,103,0.878477306,0.947867299
Delhaven Ests,2010,3,114000,115433.3333,123,122.3333333,0.915244261,0.950792327
Delhaven Ests,2013,1,60000,60000,86,86,0.666666667,0.666666667
Delshire,2011,1,140000,140000,482,482,0.833829661,0.903808909
Delshire,2012,1,178000,178000,44,44,0.962162162,0.962162162
Delshire,2013,1,162500,162500,74,74,1.04233483,1.04233483
Derbywood,2011,2,251000,251000,156,156,0.916393584,0.984582294
Derbywood,2012,1,300000,300000,13,13,0.857142857,0.857142857
Derbywood,2013,2,234950,234950,89,89,0.939995998,0.958941392
Dickinson Creek,2010,1,273011,273011,2,2,1.011376602,1.011376602
Dickinson Creek,2011,1,259130,259130,2,2,1.151688889,1.151688889
Dickinson Creek,2012,2,237616.5,237616.5,130.5,130.5,1.086801846,1.104274423
Dickinson Creek,2013,4,222200,227599.75,41,80.5,1.058347692,1.058347692
Dinahs Corner,2012,1,30000,30000,354,354,0.601202405,1.003344482
Doe Run,2010,3,172000,173633.3333,85,269.3333333,0.891891892,0.982857143
Doe Run,2011,3,148000,118300,49,54.33333333,0.925,1
Doe Run,2012,1,145000,145000,13,13,0.983050847,0.983050847
Doe Run,2013,1,136000,136000,58,58,0.937931034,0.937931034
Dogwood Meadows,2010,1,239900,239900,233,233,0.923047326,1
Dogwood Meadows,2011,5,192500,210298,10,142,1,1
Dogwood Meadows,2012,3,197000,209430,255,170.6666667,1,0.989717224
Dogwood Meadows,2013,6,219950,218400,76,131.5,0.996183206,0.996183206
Double Run Hunt Cl,2012,2,194500,194500,99.5,99.5,0.833333333,1.000263296
Double Run Hunt Cl,2013,1,203000,203000,12,12,1.074074074,1.074074074
Dover,2010,13,115000,112692.3077,117,126.0769231,0.933333333,0.970285021
Dover,2011,15,135000,129476.6667,97,162,0.750416898,0.954356846
Dover,2012,20,133500,156340,104,167.8,0.895194805,0.958385776
Dover,2013,15,150000,151166.6667,56,97.2,0.969678593,1
Dover East,2011,3,23000,25666.66667,11,63,0.92,0.92
Dover Hgts,2011,2,50750,50750,305.5,305.5,0.532474964,0.86726817
Dover Hgts,2012,4,93400,91075,152,230.75,0.769417348,0.982142857
Dover Hgts,2013,2,58750,58750,170,170,0.829011683,0.829011683
Dover Meadows,2010,1,224000,224000,75,75,0.896358543,0.933722384
Dover Meadows,2011,1,288600,288600,214,214,0.962,0.998615917
Dover Meadows,2012,1,252500,252500,23,23,0.945692884,0.945692884
Dover Meadows,2013,3,275000,275500,74,63.33333333,1.000363769,1.000363769
Doverbrook Gdns,2011,1,39000,39000,85,85,0.651085142,0.868596882
Downs Chapel,2011,1,145000,145000,74,74,0.967311541,1.03645461
Duck Creek Estates,2010,1,315000,315000,873,873,0.901287554,0.901287554
Dupont Manor,2010,1,95000,95000,36,36,0.826805918,0.88372093
Dupont Manor,2011,3,85000,107367,199,218,0.966171875,0.966171875
Eagles Chase,2010,5,130000,125780,32,51.8,0.912751678,0.964207451
Eagles Chase,2011,2,117500,117500,70,70,0.966101695,0.966101695
Eagles Chase,2012,2,111500,111500,34,34,1.008414634,1.045
Eagles Chase,2013,5,120000,111500,11,34.2,0.96,0.96
Eagles Nest,2010,1,217000,217000,23,23,0.955947137,0.955947137
Eagles Nest,2011,2,187450,187450,21.5,21.5,0.967741935,0.967741935
Eagles Nest,2012,2,211200,211200,315,315,0.928298793,0.960227273
Eagles Nest,2013,2,195950,195950,40.5,40.5,0.976151328,0.98648361
Eagles View,2010,7,165000,170727.1429,28,44.71428571,0.971159506,1
Eagles View,2011,4,151250,139125,64,49.25,0.946311326,0.971153727
Eagles View,2012,3,146900,150300,51,69.66666667,0.920028309,1.013802622
Eagles View,2013,4,141000,140950,98,145.75,0.871977985,0.978873239
East Lake Gdns,2012,3,125000,160333.3333,31,25.33333333,0.962278676,0.962278676
East Lake Gdns,2013,1,115000,115000,37,37,0.959132611,0.959132611
Eastbay Point,2011,2,151200,151200,103.5,103.5,1.008672448,1.008672448
Eastbay Point,2012,2,157950,157950,277.5,277.5,1.022341095,0.999698977
Eastover Hills,2010,2,222000,222000,542.5,542.5,0.870858792,0.889298975
Eastover Hills,2013,4,173750,173375,101,109.75,0.93437733,0.987563218
Eastwood Manor,2011,1,117900,117900,23,23,1.026109661,1.026109661
Eastwood Manor,2013,1,74000,74000,279,279,0.655447298,0.823136819
Eberton,2010,1,150000,150000,30,30,1.072194425,1.072194425
Eberton,2011,1,70100,70100,107,107,0.584166667,0.961591221
Eberton,2012,3,135000,127300,8,15,0.964285714,0.964285714
Eberton,2013,2,165500,165500,69,69,0.989431645,0.989431645
Eden Hill,2011,2,166780,166780,53,53,1.001420286,1.032943234
Eden Hill,2012,8,162912.5,165953.125,142.5,144.5,0.982678557,0.995499727
Eden Hill,2013,3,150000,154163.3333,76,141,0.961538462,1
Eden Rock,2010,1,95000,95000,19,19,0.905624404,0.905624404
Eden Rock,2011,3,180000,158333.3333,117,110,0.801781737,0.975487744
Eden Rock,2012,1,150000,150000,379,379,0.625260525,1.000667111
Edgehill,2010,7,137900,150671.4286,86,145.8571429,0.947340706,0.971223022
Edgehill,2011,4,115000,112500,198.5,175.25,0.852145622,0.978806187
Edgehill,2012,8,104750,98787.5,127,124.875,0.885808105,1
Edgehill,2013,7,130000,141628.5714,59,63.42857143,0.9592,0.972307692
Edgehill Acres,2010,1,97500,97500,111,111,1,1
Edgehill Acres,2011,5,105000,102980,144,230.4,0.724137931,0.93220339
Edgehill Acres,2012,6,85500,84050,67.5,100,0.862148383,0.976190476
Edgehill Acres,2013,8,132450,131100,57.5,118.25,0.952414014,0.98488172
Emerald Pointe,2010,13,240000,250213.7692,119,132.8461538,1,1
Emerald Pointe,2011,6,237283,236207.1667,1.5,35.33333333,1.036708794,1.036708794
Emerald Pointe,2012,9,242575,246149.4444,123,139.6666667,1.003724161,1
Emerald Pointe,2013,8,240047.5,244373.125,287.5,370.375,0.97991848,0.984741889
Emil Kfoury,2013,1,950000,950000,45,45,0.954773869,0.954773869
English Village,2010,5,93000,92928,28,93.6,0.955414013,0.955414013
English Village,2011,5,74900,88628,162,195,0.876095119,0.876095119
English Village,2012,2,65450,65450,178,178,0.902959788,0.902959788
English Village,2013,3,79250,74750,261,253.3333333,0.889877642,0.946745562
Ests At West Shore,2010,3,268000,263833.3333,28,93.33333333,0.961473471,0.974899964
Ests At West Shore,2011,1,154000,154000,21,21,1.000649773,1.000649773
Ests At West Shore,2013,2,398500,398500,649.5,649.5,0.949885971,0.972082447
Ests Of Wild Quail,2010,1,470000,470000,417,417,0.810484566,0.94000188
Ests Of Wild Quail,2011,1,575000,575000,304,304,0.884615385,0.959933222
Ests Of Wild Quail,2012,1,577685,577685,1,1,1,1
Ests Of Wild Quail,2013,1,762500,762500,459,459,0.64893617,0.848164627
Evergreen Acres,2011,1,140000,140000,116,116,0.848999394,0.875547217
Fair Acres,2010,1,112500,112500,30,30,0.809352518,0.872093023
Fair Acres,2012,1,75000,75000,55,55,0.789473684,0.789473684
Fairfield Farms,2010,2,228750,228750,49.5,49.5,0.996955198,1.008003557
Fairfield Farms,2011,2,194950,194950,69,69,0.908193685,0.928775607
Fairfield Farms,2012,3,286000,273266.6667,64,94.33333333,1,1
Fairfield Farms,2013,9,220000,209755.5556,60,112.4444444,0.936170213,0.947136564
Fairview,2010,2,166000,166000,195.5,195.5,0.937758538,0.937758538
Fairview,2011,1,95000,95000,127,127,0.704225352,0.950950951
Fairview,2012,1,50000,50000,62,62,0.724637681,0.724637681
Fairview,2013,2,119800,119800,89.5,89.5,0.968139443,0.972020657
Farmington,2010,2,92500,92500,26,26,0.862034154,0.870651878
Farthing Woods,2010,3,237000,253585,287,252.3333333,1.008939974,1.008939974
Farthing Woods,2012,2,223450,223450,78.5,78.5,0.972146088,0.993478261
Farthing Woods,2013,1,230000,230000,96,96,0.99137931,0.99137931
Felton,2010,8,183750,195225,186.5,257.625,0.950465198,0.959381717
Felton,2011,4,160240,168095,144,200.25,0.94760479,1.015
Felton,2012,9,150000,150777.8889,94,131.2222222,0.925925926,0.945472736
Felton,2013,4,109500,156275,43.5,73.5,0.962964983,0.966473556
Felton Hgts,2011,1,85000,85000,9,9,1,1
Felton Hgts,2012,1,43000,43000,278,278,0.5,0.568181818
Felton Hgts,2013,1,115000,115000,323,323,0.913423352,0.913423352
Felton West,2010,1,169900,169900,214,214,0.898941799,1
Fernwood,2012,1,110000,110000,17,17,1,1
Fields At Magnolia,2010,2,290000,290000,19,19,0.936095886,0.95248631
Fields At Magnolia,2011,1,269000,269000,105,105,0.930795848,1
Fields At Magnolia,2013,1,215000,215000,15,15,1.04368932,1.04368932
Fieldstone Village,2013,1,204860,204860,1,1,0.977572056,0.977572056
Forest Gate,2010,1,189900,189900,459,459,0.926341463,1
Four Seasons,2010,2,227950,227950,216,216,0.940200085,0.972273761
Four Seasons,2012,1,195000,195000,71,71,0.886766712,0.979899497
Four Seasons,2013,2,217125,217125,86,86,1.003382618,0.99889882
Fox Hall West,2010,3,265000,266666.6667,94,99,0.920368147,0.946766702
Fox Hall West,2011,4,283000,280000,56.5,54.5,0.969905572,0.975255692
Fox Hall West,2012,3,275000,244333.3333,14,78.33333333,0.948602967,0.948602967
Fox Hall West,2013,9,225000,232222.2222,83,94,0.929824561,0.960384154
Fox Hole Estates,2012,1,190000,190000,637,637,0.778688525,0.909090909
Fox Hollow,2010,5,199900,203940,64,181.8,0.973697029,1
Fox Hollow,2011,2,189950,189950,247,247,0.94101127,0.986486486
Fox Hollow,2013,2,212450,212450,151,151,0.976925011,1
Foxhall,2010,5,200000,222080,46,78.2,0.92890318,0.95323741
Foxhall,2011,7,195000,249714.2857,56,70,0.890410959,0.966988996
Foxhall,2012,6,206500,197333.3333,77,99.16666667,0.9026856,0.983837444
Foxhall,2013,10,232250,228890,86.5,103.3,0.944869497,0.997387085
Fredrica,2010,3,139811,139103.6667,146,256,0.833878352,1
Fredrica,2011,1,45100,45100,22,22,0.980434783,0.980434783
Fredrica,2012,6,105000,106308.3333,107.5,138,0.886118462,0.929149276
Fredrica,2013,3,72250,103083.3333,31,32.66666667,0.940860215,0.940860215
Friendship Village,2010,2,209500,209500,511.5,511.5,0.9762242,0.974758582
Friendship Village,2011,3,179900,176633.3333,491,562.6666667,0.968115942,1
Friendship Village,2012,1,148000,148000,437,437,0.875739645,0.957928803
Friendship Village,2013,1,157500,157500,56,56,0.954545455,0.954545455
Galena,2010,1,200500,200500,153,153,0.915525114,0.959330144
Gardenside,2010,4,221950,222196.25,16.5,86.25,1,1
Gardenside,2011,3,239900,229966.6667,258,232.6666667,0.959983994,1
Gardenside,2012,2,236500,236500,19.5,19.5,0.976491787,0.982541035
Gardenside,2013,3,220000,209333.3333,18,59.33333333,1,1
Garrison,2012,1,200000,200000,17,17,1.202645821,1.202645821
Garrison,2013,2,232450,232450,68.5,68.5,0.944444444,0.989795918
Garrison Lake Gree,2010,6,249900,242033.3333,92,136.1666667,0.99373083,0.980761831
Garrison Lake Gree,2011,12,216500,221499.9167,73,137.75,0.896723203,0.974707264
Garrison Lake Gree,2012,22,208000,201419.1364,63,74.95454545,0.941755459,0.99749861
Garrison Lake Gree,2013,14,221000,219921.4286,53.5,79.07142857,0.991473634,1
Generals Greene,2010,2,30750,30750,73.5,73.5,0.664592275,0.955927052
Generals Greene,2011,1,60000,60000,12,12,0.923076923,0.923076923
Generals Greene,2012,1,170000,170000,112,112,0.566855619,0.850425213
Generals Greene,2013,3,62500,54791.66667,26,42,0.892857143,0.892857143
Georgetown,2011,1,300000,300000,293,293,0.857142857,0.857142857
Glenhurst,2010,1,220750,220750,55,55,0.977851606,0.977851606
Glenhurst,2013,1,237500,237500,100,100,0.969783585,0.969783585
Glenwood,2010,5,115000,124180,69,57.2,0.92,0.940627085
Glenwood,2011,4,107950,114475,11,16.5,0.988571429,1.003703704
Glenwood,2012,5,133900,119980,78,73,0.957112223,0.992587102
Glenwood,2013,3,75000,100000,43,48.66666667,0.903373356,0.95851216
Grand Oaks,2011,2,266950,266950,128,128,0.991044621,1.008163265
Grand Oaks,2012,5,252500,251460,73,66.8,0.935188649,0.992153786
Grand Oaks,2013,1,263500,263500,179,179,0.941407646,0.994714987
Grandview Meadows,2010,2,180000,180000,72.5,72.5,0.983998924,0.983998924
Grandview Meadows,2011,3,178900,172190,24,50,0.999497179,0.999497179
Grandview Meadows,2012,2,165000,165000,66.5,66.5,0.866773287,0.962925304
Grandview Meadows,2013,1,201900,201900,107,107,0.961886613,1.010005003
Green Briar,2011,1,52240,52240,61,61,0.65959596,0.65959596
Green Mdws,2010,8,123500,120125,143,185.375,0.870079683,0.961334342
Green Mdws,2012,1,110000,110000,16,16,0.982142857,0.982142857
Green Mdws,2013,7,129000,120399.8571,53,84.28571429,0.930653333,0.936087799
Green Spring,2012,1,100000,100000,3,3,0.909090909,0.909090909
Greens At Wyoming,2010,11,149500,144928.2727,123,124.0909091,0.948851001,0.980327869
Greens At Wyoming,2011,9,119900,129944.4444,218,227.3333333,0.936087799,0.954962469
Greens At Wyoming,2012,8,149915,151591.25,142,273.625,0.95799032,0.976482001
Greens At Wyoming,2013,10,156950,158036.7,142.5,259.4,0.985385666,1
Greenview,2010,1,185000,185000,72,72,0.939086294,0.974196946
Greenview,2011,2,187500,187500,52.5,52.5,0.920103674,0.969123281
Greenview,2013,2,207500,207500,40,40,0.967522386,0.967522386
Gregg Neck,2013,1,70000,70000,205,205,0.700700701,0.778642937
Gunners Run,2012,1,229000,229000,321,321,0.944329897,0.974882929
Gunners Run,2013,1,232000,232000,15,15,0.987234043,0.987234043
Hall Ests,2011,1,145000,145000,56,56,0.90625,0.920634921
Hall Ests,2013,3,175000,173333.3333,146,123,0.838494521,0.966266438
Halltown East,2010,2,123750,123750,189,189,0.832738493,0.982549259
Halltown East,2012,1,64021,64021,118,118,0.527182148,0.618560386
Halltown East,2013,1,127500,127500,117,117,0.923913043,0.981524249
Hampton Hills,2010,1,345000,345000,82,82,0.958599611,0.988538682
Hampton Hills,2011,1,350000,350000,10,10,1,1
Hampton Hills,2012,2,341160,341160,456,456,0.890973949,1.011794112
Hampton Hills,2013,4,280000,300572.25,149.5,262.5,0.991087668,0.991087668
Hampton Square,2010,1,121000,121000,221,221,0.917361638,0.975806452
Hampton Square,2011,1,54200,54200,159,159,0.6775,0.929355281
Hampton Square,2012,3,83000,89500,284,277,0.830830831,0.981887512
Hampton Square,2013,1,68000,68000,134,134,0.971428571,0.971428571
Harrington,2010,12,112500,104125,105.5,123.9166667,0.832055765,0.90651341
Harrington,2011,13,117000,121100.7692,107,171.1538462,0.904,0.975476839
Harrington,2012,18,107500,107233.3333,70.5,89.38888889,0.911818182,0.957947162
Harrington,2013,21,129000,137580.9524,122,168.952381,0.87414966,0.976744186
Harrison Knoll,2010,2,286000,286000,91,91,0.953026641,0.977559455
Hartly,2010,3,162000,185666.6667,14,62.33333333,1,1
